Build arguments
	model_type                               -                                   custom
	input_shape                              -                              (32, 32, 3)
	noof_classes                             -                                       10
	weights                                  -                                     None
	freeze                                   -                                        0
	layers                                   -           ['conv2d', 'flatten', 'dense']
Compile arguments
	optimizer                                -                                     adam
	loss                                     -                 categorical_crossentropy
	run_eagerly                              -                                    False
	metrics_000                              -                     categorical_accuracy
	metrics_001                              -                                    top-5
	metrics_002                              -                                     mAUC
	metrics_003                              -                                     uAUC
Train arguments
	epochs                                   -                                      100
	batch                                    -                                        8
	call_time                                -                                     True
	call_stop                                -                                     True
	call_stop_kwargs-baseline                -                                      0.3
	call_stop_kwargs-monitor                 -                 val_categorical_accuracy
	call_stop_kwargs-patience                -                                        2
	call_stop_kwargs-min_delta               -                                    0.001
	call_stop_kwargs-restore_best            -                                     True
	call_checkpoint                          -                                    False
	call_checkpoint_kwargs-monitor           -                 val_categorical_accuracy
	call_checkpoint_kwargs-mode              -                                     auto
	call_checkpoint_kwargs-save_freq         -                                    epoch
	call_checkpoint_kwargs-save_weights_only -                                     True
	call_checkpoint_kwargs-save_best_only    -                                     True
	save_memory                              -                                     True
	save_final                               -                                     True
	validation_split                         -                                      0.2
	verbose                                  -                                        1
	dataset_size                             -                                    50000
CPU - local PC (IP: 180)
Evaluation: 
     epochs     --      loss     || cat_acc  ||   top5   ||    mAU    ||    uAU    || 
    Epoch 0     --      2.494616 ||   0.1577 ||   0.6228 ||  0.593899 ||  0.625886 || 
Training history: 
     epochs     --      loss     || cat_acc  ||   top5   ||    mAU    ||    uAU    ||    val_loss   || val_cat_acc || val_top5 ||  val_mAU  ||  val_uAU  ||     time     || 
   Epoch 000    --      2.303666 ||   0.1884 ||   0.5858 ||  0.610638 ||  0.611915 ||      2.302558 ||      0.0995 ||   0.4948 ||  0.500910 ||  0.497751 ||    30.093473 || 
   Epoch 001    --      2.303646 ||   0.1008 ||   0.5003 ||  0.497987 ||  0.500537 ||      2.301674 ||      0.1037 ||   0.5042 ||  0.502056 ||  0.502661 ||    29.015324 || 
   Epoch 002    --      2.302449 ||   0.1022 ||   0.5017 ||  0.499114 ||  0.501675 ||      2.301160 ||      0.1007 ||   0.4898 ||  0.501654 ||  0.498223 ||    29.296617 || 
   Epoch 003    --      2.302587 ||   0.0991 ||   0.4972 ||  0.496169 ||  0.498048 ||      2.301364 ||      0.1015 ||   0.4992 ||  0.501608 ||  0.496115 ||    29.015370 || 
   Epoch 004    --      2.302288 ||   0.0971 ||   0.4983 ||  0.495871 ||  0.498032 ||      2.301890 ||      0.0999 ||   0.4919 ||  0.501249 ||  0.496271 ||    28.890373 || 
   Epoch 005    --      2.301981 ||   0.1001 ||   0.4952 ||  0.498017 ||  0.499586 ||      2.301152 ||      0.0990 ||   0.4964 ||  0.501599 ||  0.498840 ||    28.874747 || 
   Epoch 006    --      2.300643 ||   0.1007 ||   0.5011 ||  0.497900 ||  0.500011 ||      2.300121 ||      0.1045 ||   0.5026 ||  0.502235 ||  0.502741 ||    28.905972 || 
   Epoch 007    --      2.301739 ||   0.1011 ||   0.4987 ||  0.497032 ||  0.499500 ||      2.298653 ||      0.1012 ||   0.4952 ||  0.503171 ||  0.500104 ||    28.968457 || 
   Epoch 008    --      2.299854 ||   0.1015 ||   0.4990 ||  0.498248 ||  0.500710 ||      2.299001 ||      0.1011 ||   0.5032 ||  0.503389 ||  0.502249 ||    29.280957 || 
   Epoch 009    --      2.298803 ||   0.1025 ||   0.5075 ||  0.503472 ||  0.504955 ||      2.298148 ||      0.1037 ||   0.5052 ||  0.503548 ||  0.504953 ||    28.999721 || 
   Epoch 010    --      2.298431 ||   0.1005 ||   0.4993 ||  0.499331 ||  0.501105 ||      2.296976 ||      0.1036 ||   0.5006 ||  0.504615 ||  0.502585 ||    29.046595 || 
   Epoch 011    --      2.299023 ||   0.1006 ||   0.5005 ||  0.498538 ||  0.501836 ||      2.300041 ||      0.1018 ||   0.5032 ||  0.503504 ||  0.504060 ||    28.871967 || 
   Epoch 012    --      2.298606 ||   0.1028 ||   0.5018 ||  0.502182 ||  0.504298 ||      2.298119 ||      0.1002 ||   0.5017 ||  0.504188 ||  0.501799 ||    29.171623 || 
   Epoch 013    --      2.297585 ||   0.1024 ||   0.5014 ||  0.501104 ||  0.502805 ||      2.297750 ||      0.1007 ||   0.5055 ||  0.504442 ||  0.504783 ||    28.999713 || 
   Epoch 014    --      2.297218 ||   0.1019 ||   0.4989 ||  0.501493 ||  0.503158 ||      2.292874 ||      0.1097 ||   0.5008 ||  0.506362 ||  0.505627 ||    28.843502 || 
   Epoch 015    --      2.296319 ||   0.1042 ||   0.5033 ||  0.504229 ||  0.505543 ||      2.295595 ||      0.1047 ||   0.4941 ||  0.506211 ||  0.500408 ||    29.624721 || 
   Epoch 016    --      2.294587 ||   0.1044 ||   0.5039 ||  0.504347 ||  0.506452 ||      2.294405 ||      0.1020 ||   0.4984 ||  0.506451 ||  0.504759 ||    29.671583 || 
   Epoch 017    --      2.294061 ||   0.1037 ||   0.5045 ||  0.504067 ||  0.506113 ||      2.294441 ||      0.1007 ||   0.5005 ||  0.505743 ||  0.503706 ||    29.452873 || 
